UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,datetime,plant,temperature,humidity,rainfall,temp_gap,humidity_stress
167,H29580,H,298.4,308.2,1612,32.6,10,0,0,0,0,0,0,2023-01-07 22:00:00,Plant_A,26.42,81.61,2.0,8.629999999999995,0.8161
168,H29581,H,298.4,308.3,1458,42.9,15,0,0,0,0,0,0,2023-01-07 23:00:00,Plant_A,23.73,65.37,0.0,11.420000000000016,0.6537000000000001
169,L47348,L,298.4,308.3,1433,62.3,20,1,0,0,1,0,0,2023-01-08 00:00:00,Plant_A,20.82,40.32,2.0,14.330000000000041,0.4032
170,L47349,L,298.4,308.3,1318,59.1,22,0,0,0,0,0,0,2023-01-08 01:00:00,Plant_A,31.82,54.35,2.0,3.330000000000041,0.5435
171,M15030,M,298.4,308.2,1610,35.0,24,0,0,0,0,0,0,2023-01-08 02:00:00,Plant_A,33.55,70.85,1.0,1.5,0.7084999999999999
172,L47351,L,298.2,308.1,1462,50.8,27,0,0,0,0,0,0,2023-01-08 03:00:00,Plant_A,20.33,89.06,0.0,14.620000000000061,0.8906000000000001
173,M15032,M,298.1,308.0,1924,20.8,29,0,0,0,0,0,0,2023-01-08 04:00:00,Plant_A,30.24,71.59,0.0,4.610000000000014,0.7159
174,M15033,M,298.2,308.0,1591,33.7,32,0,0,0,0,0,0,2023-01-08 05:00:00,Plant_A,24.53,52.99,0.2,10.32000000000005,0.5299
175,L47354,L,298.2,308.1,1306,58.3,35,0,0,0,0,0,0,2023-01-08 06:00:00,Plant_A,32.9,71.7,0.2,2.050000000000068,0.7170000000000001
176,L47355,L,298.2,308.1,1382,43.5,37,0,0,0,0,0,0,2023-01-08 07:00:00,Plant_A,23.49,67.0,1.0,11.460000000000036,0.67
177,L47356,L,298.2,308.1,1618,34.7,39,0,0,0,0,0,0,2023-01-08 08:00:00,Plant_A,33.82,78.99,0.2,1.1300000000000523,0.7898999999999999
178,L47357,L,298.2,308.2,1988,21.4,41,0,0,0,0,0,0,2023-01-08 09:00:00,Plant_A,27.73,45.35,0.0,7.319999999999993,0.4535
179,L47358,L,298.2,308.2,1436,50.2,43,0,0,0,0,0,0,2023-01-08 10:00:00,Plant_A,38.73,78.05,2.0,-3.680000000000007,0.7805
180,L47359,L,298.2,308.3,1304,49.8,45,0,0,0,0,0,0,2023-01-08 11:00:00,Plant_A,22.75,67.06,0.0,12.400000000000034,0.6706
181,L47360,L,298.2,308.3,1475,49.9,47,0,0,0,0,0,0,2023-01-08 12:00:00,Plant_A,26.82,88.15,0.5,8.330000000000041,0.8815000000000001
182,H29595,H,298.2,308.3,1824,24.2,49,0,0,0,0,0,0,2023-01-08 13:00:00,Plant_A,22.27,57.09,0.0,12.880000000000052,0.5709000000000001
183,M15042,M,298.1,308.2,1342,48.1,54,0,0,0,0,0,0,2023-01-08 14:00:00,Plant_A,38.49,71.63,0.0,-3.4399999999999977,0.7162999999999999
184,L47363,L,298.1,308.2,1485,40.7,57,0,0,0,0,0,0,2023-01-08 15:00:00,Plant_A,37.55,86.6,0.0,-2.5,0.866
185,L47364,L,298.2,308.2,1667,30.6,59,0,0,0,0,0,0,2023-01-08 16:00:00,Plant_A,25.16,45.13,0.0,9.889999999999986,0.45130000000000003
186,L47365,L,298.2,308.2,1446,38.2,61,0,0,0,0,0,0,2023-01-08 17:00:00,Plant_A,33.2,86.86,1.0,1.8500000000000227,0.8686
187,L47366,L,298.1,308.3,1301,56.0,63,0,0,0,0,0,0,2023-01-08 18:00:00,Plant_A,36.34,74.39,0.0,-1.1899999999999977,0.7439
188,L47367,L,298.2,308.4,1379,43.1,65,0,0,0,0,0,0,2023-01-08 19:00:00,Plant_A,31.1,43.39,0.2,4.149999999999977,0.4339
189,L47368,L,298.3,308.5,1606,33.6,67,0,0,0,0,0,0,2023-01-08 20:00:00,Plant_A,30.59,55.05,0.0,4.760000000000048,0.5505
190,M15049,M,298.3,308.4,1539,43.4,69,0,0,0,0,0,0,2023-01-08 21:00:00,Plant_A,24.84,75.41,2.0,10.410000000000025,0.7541
191,L47370,L,298.2,308.4,1477,49.9,72,0,0,0,0,0,0,2023-01-08 22:00:00,Plant_A,21.86,43.37,0.5,13.389999999999986,0.4337
192,L47371,L,298.2,308.4,1666,34.6,74,0,0,0,0,0,0,2023-01-08 23:00:00,Plant_A,37.94,69.11,0.2,-2.6899999999999977,0.6911
193,H29606,H,298.2,308.4,1398,51.8,76,0,0,0,0,0,0,2023-01-09 00:00:00,Plant_A,38.01,57.29,0.0,-2.759999999999991,0.5729
194,H29607,H,298.2,308.4,1678,34.6,81,0,0,0,0,0,0,2023-01-09 01:00:00,Plant_A,32.66,71.05,0.5,2.590000000000032,0.7105
195,M15054,M,298.2,308.5,2678,10.7,86,1,0,0,1,0,0,2023-01-09 02:00:00,Plant_A,26.78,42.29,0.2,8.57000000000005,0.4229
196,L47375,L,298.3,308.5,1453,42.9,89,0,0,0,0,0,0,2023-01-09 03:00:00,Plant_A,26.98,83.58,1.0,8.370000000000005,0.8358
197,H29610,H,298.3,308.6,1432,49.5,91,0,0,0,0,0,0,2023-01-09 04:00:00,Plant_A,34.52,88.67,1.0,0.9300000000000637,0.8867
198,M15057,M,298.4,308.6,1527,40.9,96,0,0,0,0,0,0,2023-01-09 05:00:00,Plant_A,37.94,88.44,1.0,-2.4899999999999523,0.8844
199,L47378,L,298.4,308.7,1588,35.0,99,0,0,0,0,0,0,2023-01-09 06:00:00,Plant_A,37.74,77.48,1.0,-2.1899999999999977,0.7748
200,L47379,L,298.4,308.6,1433,47.1,101,0,0,0,0,0,0,2023-01-09 07:00:00,Plant_A,35.6,46.5,0.0,-0.14999999999997726,0.465
201,L47380,L,298.4,308.6,1609,35.0,103,0,0,0,0,0,0,2023-01-09 08:00:00,Plant_A,32.84,77.91,0.0,2.6100000000000136,0.7791
202,L47381,L,298.3,308.5,1575,41.2,105,0,0,0,0,0,0,2023-01-09 09:00:00,Plant_A,21.68,41.23,0.2,13.670000000000016,0.41229999999999994
203,M15062,M,298.4,308.5,1636,35.7,107,0,0,0,0,0,0,2023-01-09 10:00:00,Plant_A,23.23,41.11,0.0,12.120000000000005,0.4111
204,L47383,L,298.4,308.5,1490,37.9,110,0,0,0,0,0,0,2023-01-09 11:00:00,Plant_A,37.97,56.18,1.0,-2.6200000000000045,0.5618
205,L47384,L,298.4,308.5,1741,32.8,112,0,0,0,0,0,0,2023-01-09 12:00:00,Plant_A,32.13,64.43,2.0,3.2200000000000273,0.6443000000000001
206,M15065,M,298.5,308.6,1344,53.0,114,0,0,0,0,0,0,2023-01-09 13:00:00,Plant_A,20.18,78.52,0.0,15.270000000000039,0.7852
207,L47386,L,298.5,308.7,1609,35.3,117,0,0,0,0,0,0,2023-01-09 14:00:00,Plant_A,22.03,74.16,2.0,13.520000000000039,0.7415999999999999
208,M15067,M,298.4,308.7,1421,60.7,119,1,0,0,1,0,0,2023-01-09 15:00:00,Plant_A,33.27,62.3,0.5,2.2800000000000296,0.623
209,L47388,L,298.4,308.6,1591,36.7,122,0,0,0,0,0,0,2023-01-09 16:00:00,Plant_A,20.1,53.68,2.0,15.350000000000023,0.5367999999999999
210,L47389,L,298.4,308.6,1477,44.0,124,0,0,0,0,0,0,2023-01-09 17:00:00,Plant_A,23.22,89.86,0.5,12.230000000000018,0.8986
211,L47390,L,298.4,308.7,1523,36.1,126,0,0,0,0,0,0,2023-01-09 18:00:00,Plant_A,30.97,61.31,0.5,4.579999999999984,0.6131
212,L47391,L,298.5,308.7,1575,33.9,128,0,0,0,0,0,0,2023-01-09 19:00:00,Plant_A,33.84,62.57,1.0,1.7099999999999795,0.6257
213,H29626,H,298.4,308.7,1344,52.9,130,0,0,0,0,0,0,2023-01-09 20:00:00,Plant_A,33.04,48.18,0.5,2.509999999999991,0.4818
214,L47393,L,298.4,308.7,1386,44.9,135,0,0,0,0,0,0,2023-01-09 21:00:00,Plant_A,24.49,79.74,0.0,11.060000000000002,0.7974
215,M15074,M,298.3,308.6,1589,37.1,137,0,0,0,0,0,0,2023-01-09 22:00:00,Plant_A,34.24,74.68,0.2,1.2100000000000364,0.7468
216,L47395,L,298.3,308.6,1548,40.3,140,0,0,0,0,0,0,2023-01-09 23:00:00,Plant_A,24.74,51.04,0.2,10.710000000000036,0.5104
217,L47396,L,298.3,308.6,1499,38.3,142,0,0,0,0,0,0,2023-01-10 00:00:00,Plant_A,26.51,44.12,1.0,8.940000000000055,0.4412
218,L47397,L,298.3,308.5,1664,31.6,144,0,0,0,0,0,0,2023-01-10 01:00:00,Plant_A,34.93,74.02,0.0,0.4200000000000159,0.7402
219,L47398,L,298.3,308.6,1447,38.1,146,0,0,0,0,0,0,2023-01-10 02:00:00,Plant_A,32.99,72.73,2.0,2.4600000000000364,0.7273000000000001
220,M15079,M,298.3,308.5,1434,46.2,148,0,0,0,0,0,0,2023-01-10 03:00:00,Plant_A,36.98,53.66,0.0,-1.6299999999999955,0.5366
221,L47400,L,298.3,308.5,1416,52.7,151,0,0,0,0,0,0,2023-01-10 04:00:00,Plant_A,33.15,87.54,2.0,2.2000000000000455,0.8754000000000001
222,H29635,H,298.4,308.5,1827,24.3,153,0,0,0,0,0,0,2023-01-10 05:00:00,Plant_A,31.37,47.55,0.0,3.980000000000018,0.4755
223,L47402,L,298.4,308.6,1304,45.0,158,0,0,0,0,0,0,2023-01-10 06:00:00,Plant_A,21.87,61.62,0.5,13.580000000000041,0.6162
224,L47403,L,298.4,308.6,1569,34.4,160,0,0,0,0,0,0,2023-01-10 07:00:00,Plant_A,27.35,87.18,0.0,8.100000000000023,0.8718
225,L47404,L,298.3,308.6,1584,29.3,162,0,0,0,0,0,0,2023-01-10 08:00:00,Plant_A,25.3,60.99,0.0,10.150000000000034,0.6099
226,L47405,L,298.3,308.5,1362,53.8,164,0,0,0,0,0,0,2023-01-10 09:00:00,Plant_A,24.88,71.93,0.0,10.470000000000027,0.7193
227,L47406,L,298.3,308.4,1329,49.2,166,0,0,0,0,0,0,2023-01-10 10:00:00,Plant_A,39.46,59.88,0.2,-4.2099999999999795,0.5988
228,L47407,L,298.3,308.5,1539,36.1,168,0,0,0,0,0,0,2023-01-10 11:00:00,Plant_A,27.86,53.71,0.0,7.490000000000009,0.5371
229,M15088,M,298.3,308.5,1629,37.1,170,0,0,0,0,0,0,2023-01-10 12:00:00,Plant_A,37.84,89.2,0.2,-2.490000000000009,0.892
230,L47409,L,298.3,308.5,1538,32.2,173,0,0,0,0,0,0,2023-01-10 13:00:00,Plant_A,32.62,60.47,0.0,2.730000000000018,0.6047
231,L47410,L,298.3,308.6,1570,34.8,175,0,0,0,0,0,0,2023-01-10 14:00:00,Plant_A,35.9,84.7,0.0,-0.4499999999999318,0.847
232,L47411,L,298.3,308.4,1408,43.1,177,0,0,0,0,0,0,2023-01-10 15:00:00,Plant_A,30.05,51.5,1.0,5.199999999999989,0.515
233,L47412,L,298.2,308.4,1424,47.6,179,0,0,0,0,0,0,2023-01-10 16:00:00,Plant_A,31.54,50.66,1.0,3.7099999999999795,0.5065999999999999
234,L47413,L,298.2,308.4,1512,34.9,181,0,0,0,0,0,0,2023-01-10 17:00:00,Plant_A,29.85,41.56,0.5,5.399999999999977,0.4156
235,L47414,L,298.2,308.4,1478,42.9,183,0,0,0,0,0,0,2023-01-10 18:00:00,Plant_A,23.9,72.58,0.0,11.350000000000023,0.7258
236,M15095,M,298.1,308.3,1680,33.7,185,0,0,0,0,0,0,2023-01-10 19:00:00,Plant_A,34.45,58.43,0.5,0.7000000000000455,0.5843
237,L47416,L,298.1,308.3,1495,38.7,188,0,0,0,0,0,0,2023-01-10 20:00:00,Plant_A,25.62,83.22,0.2,9.53000000000003,0.8321999999999999
238,M15097,M,298.0,308.1,1552,36.6,190,0,0,0,0,0,0,2023-01-10 21:00:00,Plant_A,20.49,63.66,0.5,14.460000000000036,0.6365999999999999
239,L47418,L,297.9,308.1,1393,50.3,193,0,0,0,0,0,0,2023-01-10 22:00:00,Plant_A,32.91,88.41,0.0,2.0400000000000773,0.8841
240,L47419,L,298.0,308.2,1611,30.6,195,0,0,0,0,0,0,2023-01-10 23:00:00,Plant_A,23.54,49.28,0.2,11.509999999999991,0.4928
241,M15100,M,298.0,308.1,1339,51.6,197,0,0,0,0,0,0,2023-01-11 00:00:00,Plant_A,38.81,83.43,1.0,-3.859999999999957,0.8343
242,L47421,L,298.0,308.1,1777,24.3,200,0,0,0,0,0,0,2023-01-11 01:00:00,Plant_A,39.08,78.83,0.0,-4.129999999999939,0.7883
243,L47422,L,298.0,308.2,1348,58.8,202,1,0,0,0,1,0,2023-01-11 02:00:00,Plant_A,38.3,78.55,1.0,-3.25,0.7855
244,L47423,L,298.0,308.2,1442,44.1,204,0,0,0,0,0,0,2023-01-11 03:00:00,Plant_A,27.4,82.24,0.0,7.650000000000034,0.8223999999999999
245,M15104,M,298.0,308.2,1395,49.1,206,0,0,0,0,0,0,2023-01-11 04:00:00,Plant_A,20.31,78.05,0.2,14.740000000000009,0.7805
246,M15105,M,297.9,308.1,1627,31.4,209,0,0,0,0,0,0,2023-01-11 05:00:00,Plant_A,38.57,71.31,0.2,-3.6199999999999477,0.7131000000000001
247,L47426,L,297.9,308.1,1585,33.5,212,0,0,0,0,0,0,2023-01-11 06:00:00,Plant_A,28.56,46.56,0.0,6.390000000000043,0.4656
248,L47427,L,298.0,308.2,1469,45.5,214,0,0,0,0,0,0,2023-01-11 07:00:00,Plant_A,39.33,41.63,0.0,-4.279999999999973,0.4163
249,L47428,L,298.0,308.3,1362,56.8,216,1,0,0,0,1,0,2023-01-11 08:00:00,Plant_A,39.27,86.04,0.0,-4.119999999999948,0.8604
250,L47429,L,298.0,308.3,1405,56.2,218,1,0,0,0,1,0,2023-01-11 09:00:00,Plant_A,37.06,70.83,2.0,-1.9099999999999682,0.7082999999999999
251,L47430,L,298.0,308.3,1662,32.7,0,0,0,0,0,0,0,2023-01-11 10:00:00,Plant_A,25.89,79.83,0.2,9.260000000000048,0.7983
252,M15111,M,298.0,308.2,1466,42.6,2,0,0,0,0,0,0,2023-01-11 11:00:00,Plant_A,27.7,64.08,0.2,7.350000000000023,0.6408
253,L47432,L,298.0,308.2,1620,35.8,5,0,0,0,0,0,0,2023-01-11 12:00:00,Plant_A,37.02,45.87,0.0,-1.9699999999999704,0.4587
254,L47433,L,298.0,308.2,1357,48.2,7,0,0,0,0,0,0,2023-01-11 13:00:00,Plant_A,26.34,46.26,0.5,8.710000000000036,0.46259999999999996
255,L47434,L,298.0,308.2,1514,37.9,9,0,0,0,0,0,0,2023-01-11 14:00:00,Plant_A,23.39,74.28,0.0,11.660000000000025,0.7428
256,L47435,L,298.0,308.2,1489,40.4,11,0,0,0,0,0,0,2023-01-11 15:00:00,Plant_A,31.14,61.52,1.0,3.910000000000025,0.6152000000000001
257,L47436,L,298.1,308.3,1331,63.0,13,0,0,0,0,0,0,2023-01-11 16:00:00,Plant_A,38.72,50.03,0.0,-3.569999999999993,0.5003
258,L47437,L,298.0,308.0,1615,29.5,15,0,0,0,0,0,0,2023-01-11 17:00:00,Plant_A,33.92,64.58,0.2,0.9300000000000068,0.6457999999999999
259,L47438,L,298.1,308.2,1482,37.9,17,0,0,0,0,0,0,2023-01-11 18:00:00,Plant_A,31.4,43.21,0.2,3.650000000000034,0.4321
260,M15119,M,298.1,308.2,1420,63.9,19,1,0,0,1,0,0,2023-01-11 19:00:00,Plant_A,21.94,69.1,1.0,13.110000000000014,0.691
261,M15120,M,298.2,308.3,1522,49.1,22,0,0,0,0,0,0,2023-01-11 20:00:00,Plant_A,32.3,53.45,0.0,2.8500000000000227,0.5345
262,L47441,L,298.1,308.2,1654,32.1,25,0,0,0,0,0,0,2023-01-11 21:00:00,Plant_A,39.8,79.88,0.5,-4.75,0.7988
263,M15122,M,298.1,308.2,1736,26.8,27,0,0,0,0,0,0,2023-01-11 22:00:00,Plant_A,22.8,55.52,0.2,12.25,0.5552
264,M15123,M,298.0,308.1,1587,32.3,30,0,0,0,0,0,0,2023-01-11 23:00:00,Plant_A,30.37,62.76,0.0,4.580000000000041,0.6275999999999999
265,L47444,L,298.1,308.2,1390,47.5,33,0,0,0,0,0,0,2023-01-12 00:00:00,Plant_A,37.55,40.58,1.0,-2.5,0.4058
266,L47445,L,298.0,308.1,1454,37.1,35,0,0,0,0,0,0,2023-01-12 01:00:00,Plant_A,34.82,43.62,0.0,0.1300000000000523,0.4362
267,H29680,H,298.0,308.1,1440,43.7,37,0,0,0,0,0,0,2023-01-12 02:00:00,Plant_A,33.94,59.62,0.5,1.0100000000000477,0.5962
268,L47447,L,297.9,308.0,1954,21.1,42,0,0,0,0,0,0,2023-01-12 03:00:00,Plant_A,34.05,64.0,0.0,0.8000000000000114,0.64
269,H29682,H,297.9,308.0,1800,24.8,44,0,0,0,0,0,0,2023-01-12 04:00:00,Plant_A,27.19,70.0,0.2,7.660000000000025,0.7
270,L47449,L,298.0,308.0,1524,37.0,49,0,0,0,0,0,0,2023-01-12 05:00:00,Plant_A,25.87,54.58,0.0,8.980000000000018,0.5458
271,H29684,H,298.0,308.0,1520,39.6,51,0,0,0,0,0,0,2023-01-12 06:00:00,Plant_A,36.19,74.75,0.0,-1.339999999999975,0.7475
272,M15131,M,298.1,308.1,1452,40.8,56,0,0,0,0,0,0,2023-01-12 07:00:00,Plant_A,36.2,83.01,0.0,-1.2499999999999432,0.8301000000000001
273,L47452,L,298.1,308.1,1484,40.4,59,0,0,0,0,0,0,2023-01-12 08:00:00,Plant_A,37.34,78.99,2.0,-2.3899999999999864,0.7898999999999999
274,L47453,L,298.1,308.0,1426,46.0,61,0,0,0,0,0,0,2023-01-12 09:00:00,Plant_A,38.26,41.98,0.0,-3.409999999999968,0.41979999999999995
275,L47454,L,298.1,308.0,1652,28.5,63,0,0,0,0,0,0,2023-01-12 10:00:00,Plant_A,30.23,64.03,0.0,4.6200000000000045,0.6403
276,L47455,L,298.0,308.0,1401,54.7,65,0,0,0,0,0,0,2023-01-12 11:00:00,Plant_A,30.03,45.25,0.0,4.82000000000005,0.4525
277,M15136,M,298.0,307.9,1750,26.6,67,0,0,0,0,0,0,2023-01-12 12:00:00,Plant_A,35.97,52.1,0.0,-1.2200000000000273,0.521
278,H29691,H,298.0,308.0,1479,50.7,70,0,0,0,0,0,0,2023-01-12 13:00:00,Plant_A,33.0,89.33,2.0,1.8500000000000227,0.8933
279,M15138,M,298.0,308.0,1620,29.4,75,0,0,0,0,0,0,2023-01-12 14:00:00,Plant_A,34.04,47.12,1.0,0.8100000000000023,0.47119999999999995
280,L47459,L,298.0,308.1,1819,23.4,78,0,0,0,0,0,0,2023-01-12 15:00:00,Plant_A,35.92,64.94,0.0,-0.9699999999999704,0.6494
281,M15140,M,298.1,308.1,1456,43.7,80,0,0,0,0,0,0,2023-01-12 16:00:00,Plant_A,37.8,70.91,0.5,-2.849999999999966,0.7091
282,L47461,L,298.1,308.0,1626,36.5,83,0,0,0,0,0,0,2023-01-12 17:00:00,Plant_A,26.76,75.12,0.2,8.090000000000032,0.7512000000000001
283,M15142,M,298.1,308.1,1390,49.8,85,0,0,0,0,0,0,2023-01-12 18:00:00,Plant_A,27.51,67.98,0.0,7.440000000000055,0.6798000000000001
284,L47463,L,298.2,308.2,1469,43.0,88,0,0,0,0,0,0,2023-01-12 19:00:00,Plant_A,21.88,40.49,1.0,13.170000000000016,0.40490000000000004
285,L47464,L,298.2,308.3,2051,19.2,90,0,0,0,0,0,0,2023-01-12 20:00:00,Plant_A,31.57,56.32,2.0,3.580000000000041,0.5632
286,L47465,L,298.2,308.3,1568,36.0,92,0,0,0,0,0,0,2023-01-12 21:00:00,Plant_A,20.72,65.89,0.0,14.430000000000007,0.6589
287,L47466,L,298.2,308.3,1589,33.2,94,0,0,0,0,0,0,2023-01-12 22:00:00,Plant_A,29.31,44.39,0.0,5.840000000000032,0.4439
288,L47467,L,298.2,308.3,1805,31.6,96,0,0,0,0,0,0,2023-01-12 23:00:00,Plant_A,30.85,57.53,0.0,4.300000000000011,0.5753
289,H29702,H,298.2,308.4,1385,42.2,98,0,0,0,0,0,0,2023-01-13 00:00:00,Plant_A,25.73,41.66,0.2,9.519999999999982,0.41659999999999997
290,L47469,L,298.1,308.4,1436,46.7,103,0,0,0,0,0,0,2023-01-13 01:00:00,Plant_A,31.82,43.93,0.5,3.430000000000007,0.4393
291,L47470,L,298.1,308.4,1438,45.6,105,0,0,0,0,0,0,2023-01-13 02:00:00,Plant_A,20.61,59.85,0.0,14.639999999999986,0.5985
292,L47471,L,298.0,308.3,1473,42.6,107,0,0,0,0,0,0,2023-01-13 03:00:00,Plant_A,20.75,46.64,0.0,14.400000000000034,0.4664
293,L47472,L,298.1,308.4,1335,40.2,109,0,0,0,0,0,0,2023-01-13 04:00:00,Plant_A,36.45,68.38,0.0,-1.1999999999999886,0.6838
294,H29707,H,298.1,308.5,1392,44.8,111,0,0,0,0,0,0,2023-01-13 05:00:00,Plant_A,27.2,74.47,0.2,8.150000000000034,0.7447
295,M15154,M,298.1,308.5,1372,51.1,116,0,0,0,0,0,0,2023-01-13 06:00:00,Plant_A,22.54,80.03,2.0,12.810000000000002,0.8003
296,M15155,M,298.1,308.6,1716,30.7,119,0,0,0,0,0,0,2023-01-13 07:00:00,Plant_A,30.44,50.01,2.0,5.010000000000048,0.5001
297,L47476,L,298.0,308.5,1395,46.2,122,0,0,0,0,0,0,2023-01-13 08:00:00,Plant_A,35.4,48.37,1.0,-0.049999999999954525,0.48369999999999996
298,L47477,L,298.0,308.5,1713,25.3,124,0,0,0,0,0,0,2023-01-13 09:00:00,Plant_A,24.32,45.23,0.0,11.03000000000003,0.4523
299,H29712,H,297.9,308.5,2129,18.7,126,0,0,0,0,0,0,2023-01-13 10:00:00,Plant_A,32.46,71.82,0.2,2.890000000000043,0.7182
300,M15159,M,297.8,308.3,1567,35.6,131,0,0,0,0,0,0,2023-01-13 11:00:00,Plant_A,21.71,75.32,0.2,13.440000000000055,0.7532
301,L47480,L,297.8,308.4,1622,38.3,134,0,0,0,0,0,0,2023-01-13 12:00:00,Plant_A,21.03,41.58,0.0,14.220000000000027,0.4158
302,L47481,L,297.7,308.4,1740,27.1,136,0,0,0,0,0,0,2023-01-13 13:00:00,Plant_A,30.63,86.81,2.0,4.6200000000000045,0.8681
303,H29716,H,297.8,308.4,1512,35.1,138,0,0,0,0,0,0,2023-01-13 14:00:00,Plant_A,30.81,42.6,2.0,4.439999999999998,0.426
304,M15163,M,297.8,308.4,1479,43.5,143,0,0,0,0,0,0,2023-01-13 15:00:00,Plant_A,32.75,67.06,2.0,2.5,0.6706
305,L47484,L,297.8,308.4,1737,27.5,146,0,0,0,0,0,0,2023-01-13 16:00:00,Plant_A,34.52,75.45,0.0,0.7300000000000182,0.7545000000000001
306,L47485,L,297.8,308.4,2129,19.2,148,0,0,0,0,0,0,2023-01-13 17:00:00,Plant_A,39.52,83.55,0.2,-4.269999999999982,0.8355
307,L47486,L,297.8,308.4,1374,47.1,150,0,0,0,0,0,0,2023-01-13 18:00:00,Plant_A,30.33,75.7,0.0,4.920000000000016,0.757
308,M15167,M,297.8,308.4,1579,36.6,152,0,0,0,0,0,0,2023-01-13 19:00:00,Plant_A,26.46,80.09,0.0,8.79000000000002,0.8009000000000001
309,L47488,L,297.9,308.5,1305,47.2,155,0,0,0,0,0,0,2023-01-13 20:00:00,Plant_A,35.9,56.97,2.0,-0.5499999999999545,0.5697
310,M15169,M,297.9,308.5,1449,40.8,157,0,0,0,0,0,0,2023-01-13 21:00:00,Plant_A,25.42,80.74,1.0,9.930000000000007,0.8073999999999999
311,H29724,H,298.0,308.6,1526,41.8,160,0,0,0,0,0,0,2023-01-13 22:00:00,Plant_A,28.78,44.01,2.0,6.670000000000073,0.4401
312,M15171,M,298.0,308.6,1453,44.1,165,0,0,0,0,0,0,2023-01-13 23:00:00,Plant_A,21.57,84.74,2.0,13.880000000000052,0.8473999999999999
313,L47492,L,297.9,308.6,1468,36.0,168,0,0,0,0,0,0,2023-01-14 00:00:00,Plant_A,20.51,67.38,0.5,14.940000000000055,0.6738
314,L47493,L,298.0,308.6,1313,50.8,170,0,0,0,0,0,0,2023-01-14 01:00:00,Plant_A,39.25,80.86,0.0,-3.7999999999999545,0.8086
315,M15174,M,297.9,308.5,1300,53.0,172,0,0,0,0,0,0,2023-01-14 02:00:00,Plant_A,36.72,62.62,0.0,-1.3700000000000045,0.6262
316,L47495,L,297.9,308.4,1646,40.6,175,0,0,0,0,0,0,2023-01-14 03:00:00,Plant_A,33.92,72.18,0.5,1.329999999999984,0.7218000000000001
317,L47496,L,297.8,308.4,1714,33.2,177,0,0,0,0,0,0,2023-01-14 04:00:00,Plant_A,28.18,66.32,0.5,7.069999999999993,0.6631999999999999
318,L47497,L,297.8,308.4,1685,28.4,179,0,0,0,0,0,0,2023-01-14 05:00:00,Plant_A,23.47,76.58,1.0,11.779999999999973,0.7658
319,L47498,L,297.8,308.4,1512,39.9,181,0,0,0,0,0,0,2023-01-14 06:00:00,Plant_A,23.13,44.08,0.2,12.120000000000005,0.44079999999999997
320,L47499,L,297.8,308.4,1612,32.1,183,0,0,0,0,0,0,2023-01-14 07:00:00,Plant_A,25.0,43.02,1.0,10.25,0.4302
321,H29734,H,297.8,308.4,1550,38.2,185,0,0,0,0,0,0,2023-01-14 08:00:00,Plant_A,30.98,52.36,0.2,4.269999999999982,0.5236
322,L47501,L,297.8,308.4,1518,32.5,190,0,0,0,0,0,0,2023-01-14 09:00:00,Plant_A,34.29,47.98,0.2,0.9599999999999795,0.47979999999999995
323,L47502,L,297.8,308.5,1448,40.0,192,0,0,0,0,0,0,2023-01-14 10:00:00,Plant_A,33.2,83.59,0.0,2.150000000000034,0.8359000000000001
324,L47503,L,297.8,308.5,1561,46.3,194,0,0,0,0,0,0,2023-01-14 11:00:00,Plant_A,25.6,50.96,2.0,9.75,0.5096
325,M15184,M,297.8,308.5,1488,41.9,196,0,0,0,0,0,0,2023-01-14 12:00:00,Plant_A,39.1,88.79,0.0,-3.75,0.8879
326,L47505,L,297.8,308.5,1699,27.8,199,0,0,0,0,0,0,2023-01-14 13:00:00,Plant_A,34.76,56.84,0.0,0.5900000000000318,0.5684
327,L47506,L,297.7,308.5,1501,41.4,201,0,0,0,0,0,0,2023-01-14 14:00:00,Plant_A,31.09,49.11,0.2,4.260000000000048,0.4911
328,L47507,L,297.7,308.5,1373,56.7,203,1,0,0,0,1,0,2023-01-14 15:00:00,Plant_A,32.23,79.48,0.5,3.1200000000000045,0.7948000000000001
329,H29742,H,297.6,308.4,1703,31.4,205,0,0,0,0,0,0,2023-01-14 16:00:00,Plant_A,28.39,72.94,2.0,6.860000000000014,0.7293999999999999
330,H29743,H,297.7,308.5,1720,29.9,210,0,0,0,0,0,0,2023-01-14 17:00:00,Plant_A,24.95,64.91,0.0,10.400000000000034,0.6491
331,M15190,M,297.6,308.4,1398,41.9,215,0,0,0,0,0,0,2023-01-14 18:00:00,Plant_A,27.12,67.77,0.0,8.129999999999995,0.6777
332,M15191,M,297.6,308.4,1391,51.9,218,0,0,0,0,0,0,2023-01-14 19:00:00,Plant_A,35.16,75.96,0.0,0.09000000000003183,0.7595999999999999
333,M15192,M,297.6,308.3,1538,40.2,0,0,0,0,0,0,0,2023-01-14 20:00:00,Plant_A,20.29,51.42,1.0,14.860000000000014,0.5142
334,L47513,L,297.5,308.2,1647,31.3,3,0,0,0,0,0,0,2023-01-14 21:00:00,Plant_A,22.32,89.82,0.0,12.730000000000018,0.8981999999999999
